control_id,title,statement,applicability,group_path
"ism-principle-gov-01","Executive cyber security accountability","The board of directors or executive committee is accountable for cyber security.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-08","Executive artificial intelligence accountability","The board of directors or executive committee is accountable for ensuring that artificial intelligence is secure, controllable, human-supervised and used in an ethical and accountable manner.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-02","Cyber security leadership","A chief information security officer provides leadership and oversight of cyber security activities and delivers regular and timely risk-based reporting to the board of directors or executive committee on their organisation’s cyber security posture, the effectiveness of controls, current security risks and emerging cyber threats.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-04","Cyber security resourcing","Suitable and sufficient personnel and resources are identified, acquired and maintained in support of cyber security activities.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-09","Security risk management responsibilities","Security risk management responsibilities for an organisation and their suppliers, partners and customers, including any shared responsibilities, are documented and communicated to all relevant parties with accountability arrangements in place to ensure their effective implementation.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-03","Security risk management assurance","Security risk management activities for an organisation and their systems (infrastructure, operating systems, applications and data) are embedded into organisational risk management frameworks and subject to ongoing monitoring and assurance activities by the board of directors or executive committee.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-05","Security risk acceptance","Residual security risks for systems (infrastructure, operating systems, applications and data), including inherited and shared security risks, are accepted before they are authorised for use and continuously monitored and managed throughout their operational life.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-06","Security risk communication","Residual security risks for systems (infrastructure, operating systems, applications and data), including inherited and shared security risks, are transparently and mutually communicated with stakeholders.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-10","System exposure minimisation","Information about the design, configuration and operation of systems (infrastructure, operating systems, applications and data) is not publicly disclosed or shared externally unless necessary for commercial, legal, regulatory or security purposes, with any disclosure minimised, controlled and logged.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-11","Supplier cyber security assurance","Systems (infrastructure, operating systems, applications and data) are delivered and supported by trustworthy suppliers whose cyber security practices are independently verified, or otherwise risk-assessed, on a regular basis.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-12","Personnel suitability assurance","Only personnel whose suitability and trustworthiness have been established, and are subject to ongoing assurance, are granted access to systems (infrastructure, operating systems, applications and data).","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-13","Cyber security and safety","Controls for systems (infrastructure, operating systems, applications and data) do not compromise human, physical or environmental safety.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-14","Legacy system management","Systems (infrastructure, operating systems, applications and data) that are not capable of meeting cyber security requirements are managed using compensating controls, along with enhanced monitoring and assurance activities, to maintain an acceptable level of residual risk until they can be decommissioned or replaced.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-gov-07","Continuous cyber security improvement","Security risk management and associated cyber security activities are continually measured and reviewed using cyber threat intelligence and assurance activities, including exercises informed by real-world cyber threats, to identify, prioritise and incorporate improvements in governance arrangements, shared responsibilities and the effectiveness of controls.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Govern cyber security principles"
"ism-principle-ide-01","Asset identification","Systems (infrastructure, operating systems, applications, identities, credentials and data) are continually and centrally identified and documented.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-ide-05","Asset interdependencies","Interdependencies between systems (infrastructure, operating systems, applications and data) are continually and centrally identified and documented, including how the compromise of one system could affect the security or business operations of other dependent systems.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-ide-02","Business criticality rating identification","Business criticality ratings for systems (infrastructure, operating systems, applications and data) are identified and documented.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-ide-03","Security requirement identification","Security requirements for systems (infrastructure, operating systems, applications and data) are identified and documented.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-ide-06","Resilience requirement identification","Resilience requirements for systems (infrastructure, operating systems, applications and data) are identified and documented.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-ide-04","Security risk identification","Security risks for an organisation and their systems (infrastructure, operating systems, applications and data) are identified, including by using current strategic and sector-specific cyber threat intelligence and threat modelling, and are documented along with any associated risk management decisions.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Identify cyber security principles"
"ism-principle-pro-01","Secure system lifecycle","Systems (infrastructure, operating systems and applications) are planned, designed, developed, tested, deployed, maintained and decommissioned according to their business criticality ratings and security and resilience requirements using Secure by Design and Secure by Default principles and practices.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-16","Cyber supply chain security","Cyber supply chains supporting systems (infrastructure, operating systems, applications and data) are secure, resilient and support effective and coordinated cyber security incident response.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-13","Identity, credential and access management","Robust and secure identity, credential and access management is used to establish, maintain and control access to systems (infrastructure, operating systems, applications and data) and to support effective detection of identity and credential misuse.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
"ism-principle-pro-12","Least privilege access","Personnel and services are granted the minimum access to systems (infrastructure, operating systems, applications and data) required to undertake their duties.","NC,OS,P,S,TS","Cyber security principles > The cyber security principles > Protect cyber security principles"
