req_number,requirement,domain,section,section_title,applicability,start_date,decision,question_type,mandatory,scored
1,The Department of State supports portfolio entities to achieve and maintain an acceptable level of protective security through advice and guidance on government security.,GOV,01,WoAG Protective Security Roles,DOS,31/10/2024,Retain,Performance,Mandatory,Scored
2,The Accountable Authority complies with all Protective Security Directions.,GOV,01,WoAG Protective Security Roles,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
3,The Technical Authority Entity provides technical advice and guidance to support entities to achieve and maintain an acceptable level of protective security.,GOV,01,WoAG Protective Security Roles,Technical Authority Entity,31/10/2024,Retain,Performance,Mandatory,Scored
4,The Shared Service Provider Entity supplies security services that help relevant entities achieve and maintain an acceptable level of security.,GOV,01,WoAG Protective Security Roles,Shared Service Provider Entity,31/10/2024,Retain,Performance,Mandatory,Scored
5,"The Shared Service Provider Entity develops, implements and maintains documented responsibilities and accountabilities for partnerships or security service arrangements with other entities.",GOV,01,WoAG Protective Security Roles,Shared Service Provider Entity,31/10/2024,Retain,Performance,Mandatory,Scored
6,The Accountable Authority is answerable to their minister for the entity's protective security.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
7,The Accountable Authority is responsible for managing the security risks of their entity.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
8,A Chief Security Officer is appointed and empowered to oversee the entity's protective security arrangements.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
9,The Chief Security Officer is a Senior Executive Service officer  and holds a minimum security clearance of Negative Vetting 1.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
10,The Chief Security Officer is accountable to the Accountable Authority for protective security matters.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
11,A Chief Information Security Officer is appointed to oversee the entity's cyber security program and the cyber security for the entity’s most critical technology resources .,GOV,02,Entity Protective Security Roles and Responsibilities All entities 1/07/2025 Modify Yes/No Mandatory Scored,,,,,,
12,The Chief Information Security Officer has the appropriate capability and experience and holds a minimum security clearance of Negative Vetting 1.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
13,The Chief Information Security Officer is accountable to the Accountable Authority for cyber security risks and how the entity’s cyber security program is managing these risks.,GOV,02,Entity Protective Security Roles and Responsibilities All entities 1/07/2025 Modify Yes/No Mandatory Scored,,,,,,
14,"Where appointed, security practitioners are appropriately skilled, empowered and resourced to perform their designated functions.",GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
15,"Where appointed, security practitioners have access to training across government to maintain and upskill on new and emerging security issues.",GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
16,"The Accountable Authority approves security governance arrangements that are tailored to the entity’s size, complexity and risk environment.",GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
17,A dedicated security email address is established and monitored as the central conduit for distribution of protective security-related information across the entity.,GOV,02,Entity Protective Security Roles and Responsibilities,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
18,"A security plan is developed, implemented and maintained to address the mandatory elements of the plan.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
19,The Accountable Authority approves the entity's security plan.,GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
20,"The security plan is considered annually and reviewed at least every two years to confirm its adequacy and ability to adapt to shifts in the entity's risk, threat or operating environment.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
21,"Procedures are developed, implemented and maintained to ensure all elements of the entity’s security plan are achieved.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
22,"Develop, establish and implement security monitoring arrangements to identify the effectiveness of the entity’s security plan and establish a continuous cycle of improvement.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
23,"The Accountable Authority and Chief Security Officer develop, implement and maintain a program to foster a positive security culture in the entity and support the secure delivery of government business.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
24,"Security awareness training is provided to personnel, including contractors, at engagement and annually thereafter.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
25,"Targeted security training is provided to personnel, including contractors, in specialist or high-risk positions.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
26,"Procedures are developed, implemented and maintained to ensure security incidents are responded to and managed.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
27,Security incident management and response plans are incorporated into the entity’s business continuity arrangements.,GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
28,Significant or externally reportable security incidents and referral obligations are reported to the relevant authority (or authorities) within the applicable timeframe.,GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
29,"Procedures are developed, implemented and maintained to investigate security incidents in accordance with the principles of the Australian Government Investigations Standards.",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
30,"The principles of procedural fairness are applied to all security investigations, with due regard to national security considerations",GOV,03,"Security Planning, Incidents and Training",All entities,31/10/2024,Retain,Performance,Mandatory,Scored
31,The annual protective security report is provided to the entity’s Minister.,GOV,04,Protective Security Reporting,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
32,The annual protective security report is submitted to the Department of Home Affairs.,GOV,04,Protective Security Reporting,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
33,The Accountable Authority approves the entity’s annual protective security report and confirms that they have verified the report’s content.,GOV,04,Protective Security Reporting,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
34,Entities cooperate with the Department of Home Affairs’ assurance activities to review annual protective security reports.,GOV,04,Protective Security Reporting,All entities,31/10/2024,Retain,Yes/No/NA,Mandatory,Scored
35,The annual Cyber Security Survey is submitted to the Australian Signals Directorate.,GOV,04,Protective Security Reporting,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
36,The Accountable Authority determines their entity’s tolerance for security risks and documents in the security plan.,RISK,05,Security Risk Management,All entities,31/10/2024,Retain,Yes/No,Mandatory,Scored
37,"A risk steward (or manager) is identified for each security risk or category of security risk, including shared risks.",RISK,05,Security Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
38,"The Accountable Authority considers the impact that their security risk management decisions could potentially have on other entities, and shares information on risks where appropriate.",RISK,05,Security Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
39,The entity is accountable for the management of security risks arising from procuring goods and services and ensures procurement and contract decisions do not expose the entity or the Australian Government to an unacceptable level of risk.,RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
40,"Procurement, contracts and third-party outsourced arrangements contain proportionate security terms and conditions to ensure service providers, contractors and subcontractors comply with relevant PSPF Requirements and avoid exposing the entity or the Australian",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
41,"Entity ensures service providers, contractors and subcontractors comply with relevant PSPF Requirements as detailed by the entity.",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
42,"Contractual security terms and conditions require service providers to report any actual or suspected security incidents to the entity, and follow reasonable direction from the entity arising from incident investigations.",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
43,"Government entities providing outsourced services provide IRAP assessment reports to the government entities consuming, or looking to consume, their services.",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
44,"Contract security terms and conditions are monitored and reviewed to ensure the specified security controls, terms and conditions are implemented, operated and maintained by the contracted provider, including any subcontractors, over the life of a contract.",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
45,Contractual terms and conditions include appropriate security arrangements for the completion or termination of the contract.,RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
47,"Security risks arising from contractual arrangements for the provision of goods and services are managed, reassessed and adjusted over the life of a contract.",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
48,"Secure and verifiable third-party vendors, providers, partners and associated services are used unless business operations require use, and the residual risks are managed and approved by the Chief Information Security Officer",RISK,06,Third Party Risk Management,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
49,Entities manage the security risks associated with engaging with foreign partners.,RISK,07,Countering Foreign Interference and Espionage,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
50,"Personnel do not publicise their security clearance level on social media platforms, including employment-focused platforms such as LinkedIn.",RISK,07,Countering Foreign Interference and Espionage,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
51,"An insider threat program is implemented by entities that manage Baseline to Positive Vetting security clearance subjects, to manage the risk of insider threat in the entity.",RISK,07,Countering Foreign Interference and Espionage,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
52,"Where exceptional circumstances prevent or affect an entity’s capability to implement a PSPF requirement or standard, the Accountable Authority may vary application, for a limited period of time, consistent with the entity’s risk tolerance.",RISK,08,Contingency Planning,All entities,31/10/2024,Retain,Yes/No/NA,Mandatory,Scored
53,Decisions to vary implementation of a PSPF requirement or standard due to exceptional circumstances are documented in the entity's security plan.,RISK,08,Contingency Planning,All entities,31/10/2024,Retain,Yes/No/NA,Mandatory,Scored
54,Decisions to implement an alternative mitigation measure that meets or exceeds a PSPF requirement or standard are reviewed and reported annually.,RISK,08,Contingency Planning,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
